id,name,centralized,trade_volume_24h_btc_normalized
jediswap-starknet-alpha,JediSwap,0,0.6454633964161932
jellyswap,Jellyverse,0,0.0
jetswap,JetSwap,0,0.0
jswap,Jswap,0,0.0
julswap,Julswap,0,0.1010881304681814
junoswap,Junoswap,0,0.0
jupiter,Jupiter,0,0.0
justmoney_bttc,Justmoney (Bittorent),0,0.0
kaddex,eckoDEX,0,0.0
kaidex,Kaidex,0,1.5621570995488891
kaidex_v3,Kaidex V3,0,0.0
kaleidoswap-arbitrum,KaleidoSwap (Arbitrum),0,0.0
kanga,Kanga,1,186.97078318261475
karura_swap,Karura Swap,0,0.3277269546417284
katana,Katana,0,52.39972933418258
kava,Kava Swap,0,0.0
kdswap,KDSwap,0,0.0261245267381821
kewlswap-arbitrum,KEWLSwap (Arbitrum),0,0.0
kewlswap-chiliz-chain,KEWLSwap (Chiliz Chain),0,0.0
khaos_exchange,Khaos Exchange,0,0.0
kibbleswap,KibbleSwap,0,0.0
kickex,KickEX,1,45.15234365954309
kiloex-bsc,KiloEx (BSC),0,0.0
kiloex-manta-pacific,KiloEx (Manta Pacific),0,0.0
kiloex-opbnb,KiloEx (opBnb),0,0.0
kim,Kim,0,0.1051292923039186
kim-v4,Kim V4,0,20.611561874127094
kine-protocol-derivatives,Kine Protocol (Derivatives),0,0.0
kine-protocol-spot,Kine Protocol (Spot),0,0.160139342565093
kinesis_money,Kinesis Money,1,116.72341567175961
kinetix-v3,Kinetix V3,0,2.915775994756548
klayswap,KLAYSwap,0,5.193877160288722
klayswap-v3,Klayswap V3,0,1.2178881435928317
klever_exchange,Bitcoin.me,1,0.304504128289435
knightswap,KnightSwap,0,0.2612607720405669
koinbazar,Koinbx,1,132.62944910681048
koinpark,Koinpark,1,196.6478299797007
komodo_wallet,Komodo Wallet,0,0.0191724105690157
korbit,Korbit,1,67.57283672437747
kraken,Kraken,1,10826.08841855368
kraken_futures,Kraken (Futures),1,0.0
kriya-dex,KriyaDEX,0,23.880975315363496
ktx_finance_arbitrum_derivatives,KTX.Finance (Arbitrum),0,0.0
ktx_finance_bsc_derivatives,KTX.Finance (BSC),0,0.0
ktx_finance_mantle_derivatives,KTX.Finance (Mantle),0,0.0
kucoin,KuCoin,1,9208.695535296878
kujira,Kujira Fin,0,4.3217266014417
kumex,KuCoin Futures,1,0.0
kuna,Kuna Exchange,1,46.1219038374512
kuswap,Kuswap,0,0.0016730066810955
kyberswap_classic_arbitrum,Kyberswap Classic (Arbitrum),0,0.0083613929496627
kyberswap_classic_avalanche,KyberSwap Classic (Avalanche),0,0.0334674279662049
kyberswap_classic_bsc,KyberSwap Classic (BSC),0,0.0263782783526333
kyberswap_classic_bttc,Kyberswap Classic (Bittorent),0,0.0
kyberswap_classic_ethereum,KyberSwap Classic (Ethereum),0,0.1014959766670463
kyberswap_classic_fantom,KyberSwap Classic (Fantom),0,0.0
kyberswap_classic_optimism,Kyberswap Classic (Optimism),0,0.0089944665351
kyberswap_classic_polygon,KyberSwap Classic (Polygon),0,0.100285003140907
kyberswap_elastic,KyberSwap Elastic (Ethereum),0,0.0
kyberswap_elastic_arbitrum,Kyberswap Elastic (Arbitrum),0,0.0227175526044562
kyberswap_elastic_avalanche,Kyberswap Elastic (Avalanche),0,0.0
kyberswap_elastic_bsc,Kyberswap Elastic (BSC),0,0.0
kyberswap_elastic_fantom,Kyberswap Elastic (Fantom),0,0.0
kyberswap-elastic-linea,Kyberswap Elastic (Linea),0,0.3603628168993602
kyberswap_elastic_optimism,Kyberswap Elastic (Optimism),0,0.0055236494249775
kyberswap_elastic_polygon,Kyberswap Elastic (Polygon),0,0.2390455710696906
laserswap,LaserSwap,0,0.0
latoken,LATOKEN,1,7037.379142977593
lbank,LBank,1,20168.512366058745
lbank-futures,LBank (Futures),1,0.0
lcx,LCX Exchange,1,20.543734222315372
leetswap-base,LeetSwap (Base),0,0.0
leetswap-linea,LeetSwap (Linea),0,0.0
leonicornswap,LeonicornSwap,0,0.0
levana-perps-osmosis,Levana Perps (Osmosis),0,0.0
levinswap_xdai,Levinswap (xDai),0,0.0179325349910657
